iter	Passed	Remaining
0	239	239740
1	241	120618
2	244	81332
3	246	61428
4	248	49392
5	249	41331
6	250	35576
7	252	31251
8	253	27943
9	258	25590
10	260	23425
11	262	21587
12	263	20014
13	264	18652
14	266	17470
15	268	16490
16	269	15581
17	272	14854
18	273	14130
19	275	13482
20	276	12889
21	277	12340
22	278	11841
23	279	11380
24	281	10985
25	283	10603
26	285	10288
27	288	9999
28	289	9698
29	291	9427
30	293	9162
31	294	8917
32	296	8674
33	297	8442
34	299	8245
35	301	8063
36	302	7873
37	304	7702
38	305	7523
39	306	7363
40	308	7216
41	309	7066
42	311	6922
43	312	6782
44	314	6675
45	315	6553
46	317	6431
47	318	6314
48	319	6200
49	320	6095
50	322	5993
51	323	5893
52	324	5796
53	327	5731
54	328	5651
55	330	5568
56	331	5485
57	333	5420
58	335	5345
59	336	5278
60	338	5203
61	339	5135
62	342	5091
63	343	5025
64	344	4962
65	346	4901
66	347	4839
67	348	4779
68	349	4721
69	351	4663
70	352	4608
71	353	4557
72	356	4524
73	357	4474
74	358	4423
75	360	4378
76	361	4333
77	363	4292
78	364	4247
79	365	4204
80	366	4160
81	367	4117
82	369	4082
83	371	4053
84	372	4013
85	374	3975
86	375	3938
87	376	3900
88	377	3864
89	378	3830
90	380	3798
91	381	3765
92	383	3736
93	385	3717
94	386	3685
95	388	3655
96	389	3623
97	390	3592
98	391	3563
99	392	3534
100	393	3506
101	395	3478
102	397	3465
103	400	3448
104	402	3428
105	404	3408
106	405	3385
107	407	3362
108	408	3336
109	409	3311
110	410	3287
111	411	3264
112	415	3259
113	417	3242
114	418	3222
115	420	3201
116	421	3178
117	422	3157
118	423	3135
119	425	3118
120	426	3097
121	428	3087
122	430	3072
123	432	3054
124	433	3035
125	434	3016
126	435	2995
127	437	2977
128	438	2958
129	440	2946
130	441	2931
131	444	2926
132	446	2909
133	447	2892
134	449	2877
135	450	2860
136	451	2843
137	452	2827
138	453	2811
139	455	2795
140	457	2788
141	459	2774
142	460	2759
143	461	2743
144	462	2728
145	464	2714
146	465	2700
147	466	2685
148	467	2670
149	468	2656
150	469	2642
151	472	2636
152	473	2623
153	475	2609
154	476	2595
155	477	2582
156	478	2569
157	479	2555
158	480	2543
159	482	2530
160	483	2517
161	484	2503
162	485	2491
163	488	2490
164	489	2478
165	490	2466
166	492	2456
167	493	2445
168	495	2434
169	496	2423
170	497	2413
171	499	2402
172	502	2401
173	503	2391
174	504	2380
175	506	2370
176	507	2358
177	508	2350
178	510	2340
179	511	2331
180	512	2321
181	515	2315
182	517	2309
183	518	2300
184	520	2292
185	521	2282
186	522	2272
187	523	2262
188	525	2253
189	526	2246
190	533	2258
191	534	2251
192	536	2242
193	537	2232
194	538	2223
195	539	2214
196	541	2206
197	542	2198
198	545	2194
199	547	2189
200	549	2182
201	550	2175
202	552	2168
203	553	2160
204	554	2152
205	556	2145
206	558	2139
207	561	2136
208	562	2128
209	563	2121
210	565	2113
211	566	2105
212	567	2098
213	569	2091
214	570	2083
215	571	2075
216	574	2074
217	576	2068
218	578	2061
219	579	2053
220	580	2045
221	581	2037
222	582	2030
223	584	2023
224	585	2016
225	586	2008
226	588	2004
227	590	1999
228	591	1992
229	593	1986
230	594	1979
231	595	1972
232	597	1965
233	598	1958
234	599	1951
235	600	1945
236	604	1946
237	606	1942
238	608	1936
239	609	1930
240	610	1923
241	611	1916
242	613	1912
243	615	1905
244	616	1898
245	619	1898
246	620	1893
247	622	1886
248	623	1879
249	624	1873
250	625	1867
251	627	1861
252	628	1855
253	629	1849
254	630	1843
255	634	1842
256	635	1836
257	636	1830
258	637	1824
259	638	1818
260	639	1811
261	641	1805
262	642	1799
263	643	1793
264	644	1787
265	645	1781
266	648	1780
267	649	1775
268	651	1769
269	652	1764
270	653	1758
271	655	1753
272	657	1749
273	658	1743
274	659	1737
275	660	1731
276	662	1728
277	663	1723
278	665	1718
279	666	1713
280	667	1708
281	668	1702
282	670	1698
283	671	1692
284	672	1687
285	673	1681
286	674	1676
287	677	1674
288	679	1671
289	680	1666
290	681	1661
291	683	1656
292	684	1651
293	685	1647
294	687	1642
295	688	1636
296	689	1631
297	693	1632
298	694	1629
299	696	1624
300	697	1620
301	699	1616
302	703	1617
303	704	1613
304	708	1615
305	711	1612
306	712	1609
307	714	1604
308	715	1600
309	716	1595
310	718	1591
311	719	1586
312	722	1585
313	724	1582
314	726	1578
315	727	1574
316	728	1570
317	730	1566
318	731	1562
319	733	1557
320	734	1553
321	737	1553
322	739	1549
323	740	1545
324	742	1541
325	743	1537
326	745	1533
327	746	1529
328	752	1535
329	754	1531
330	755	1527
331	756	1522
332	758	1520
333	760	1515
334	761	1510
335	764	1510
336	766	1507
337	767	1502
338	768	1498
339	769	1493
340	770	1489
341	772	1485
342	773	1480
343	774	1476
344	775	1471
345	776	1467
346	779	1466
347	780	1462
348	781	1458
349	782	1453
350	783	1449
351	784	1445
352	786	1440
353	787	1436
354	788	1432
355	789	1428
356	790	1424
357	794	1423
358	795	1420
359	796	1416
360	798	1412
361	799	1409
362	800	1405
363	801	1401
364	803	1397
365	804	1393
366	805	1390
367	808	1388
368	810	1386
369	811	1382
370	813	1379
371	816	1377
372	817	1373
373	818	1370
374	819	1366
375	822	1365
376	824	1362
377	826	1360
378	828	1357
379	829	1353
380	830	1350
381	832	1346
382	833	1342
383	834	1339
384	840	1342
385	842	1340
386	843	1336
387	845	1332
388	846	1329
389	847	1325
390	848	1321
391	849	1318
392	852	1317
393	856	1316
394	857	1313
395	858	1310
396	860	1306
397	861	1303
398	863	1300
399	865	1297
400	868	1297
401	870	1294
402	871	1291
403	873	1288
404	874	1284
405	876	1282
406	877	1278
407	879	1276
408	883	1276
409	885	1273
410	886	1270
411	888	1267
